Tweet Id;Text;Name;Screen Name;Created At;Favorites;Retweets;Language;Client;Tweet Type;Media Type;URLs;Hashtags;Mentions
767140398548541440;"""»”„ «··Â «·—Õ„‰ «·—ÕÌ„""";For Defenders eSports;4DxeSports;Sat Aug 20 23:24:58 +0000 2016;0;1;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;0
767141209580171269;Ã„Ì⁄ «·«Œ»«— Ê«·‰ «∆Ã «·„ ⁄·ﬁÂ » 4Dx —«Õ  ﬂÊ‰ „ÊÃÊœÂ »Â–« «·Õ”«» ... ·· –ﬂÌ— —«Õ ‰ﬂÊ‰ «‰ ‘«¡ «··Â »ﬂÊœ ?? Ê›Ì›« ?? .;For Defenders eSports;4DxeSports;Sat Aug 20 23:28:11 +0000 2016;1;9;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;0
767706685469261824;@AL8RENTA ÊÌ«ﬂ„??;For Defenders eSports;4DxeSports;Mon Aug 22 12:55:11 +0000 2016;0;1;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Reply;;0;0;1
767859046841974784;@JrFaWe ﬁ—Ì»« «‰ ‘«¡ «··Â;For Defenders eSports;4DxeSports;Mon Aug 22 23:00:37 +0000 2016;0;1;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Reply;;0;0;1
768820540857516032;"The official account for instagram 

https://t.co/sshmAieDTc

#»—Ê_ﬂ·Ê» 
#Callofduty
#FIFA17";For Defenders eSports;4DxeSports;Thu Aug 25 14:41:15 +0000 2016;1;3;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;1;3;0
772533159338573824;"«·„Ê”„ «·À«‰Ì „‰ »ÿÊ·Â @DELIALPI_ 
œÊ— 32 :

4Dx VS Q8GS

«·›Ê“ »„Ã„Ê⁄ «·„»«— Ì‰ .  https://t.co/ZcLEolm2lP";For Defenders eSports;4DxeSports;Sun Sep 04 20:33:52 +0000 2016;3;7;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;1;0;1
775087651816898561;"⁄Ìœ √÷ÕÏ „»«—ﬂ ..
√⁄«œÂ «··Â ⁄·Ì‰« Ê⁄·Ìﬂ„ Ê⁄·Ï «·„”·„Ì‰ Ã„Ì⁄« »’Õ… Ê⁄«›Ì… Ê‰⁄„… Ê√„«‰ ..
 Êﬂ· ⁄«„ Ê«‰ „ »ŒÌ— ?? ..
  #»—Ê_ﬂ·Ê» #EidAlAdha";For Defenders eSports;4DxeSports;Sun Sep 11 21:44:31 +0000 2016;3;6;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;2;0
776078063360679936;"ﬁ«∆„Â «·›—Ìﬁ ›Ì ›Ì›« ?? .. ‰”√· «··Â «· Ê›Ìﬁ ›Ì Õ’œ «·«·ﬁ«» .

 #»—Ê_ﬂ·Ê» #FIFA17 https://t.co/VtPJCBQCzb";For Defenders eSports;4DxeSports;Wed Sep 14 15:20:03 +0000 2016;4;6;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;2;0
778320048406556673;CallOfDuty ⁄«·Ê¬ﬁ⁄ https://t.co/5Oj3q42YXk;For Defenders eSports;4DxeSports;Tue Sep 20 19:48:54 +0000 2016;2;5;Undetermined;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;1;0;0
779286636366553088;"»⁄œ „‘Ê«— «·›—Ìﬁ ›Ì ›Ì›« 16 Ê ÕﬁÌﬁ «·«‰Ã«“«  ﬁ—Ì»  ‘Ê›Ê‰« ›Ì ›Ì›« 17 Ê ‘Ê›Ê‰« „‰ «·„’‰›Ì‰ «·‹10 «·«Ê«∆· ?? «‰ ‘«¡ «··Â .
#»—Ê_ﬂ·Ê» #FIFA17 https://t.co/Gc9NSeo5AZ";For Defenders eSports;4DxeSports;Fri Sep 23 11:49:47 +0000 2016;4;10;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Video;0;2;0
